OID_,id,subward,ward,district,Building Diversity,Population Density,Microclimate,UNIQUE,Heat Stress,Connectivity,Integration,Built Density
1,1,Kilimahewa,Tandika,Temeke,0.129190152,0.821885406,0.067988369,0,0.150351234,0.68485857,0.566296501,0.341213875
2,2,Nyambwera,Tandika,Temeke,0.268822698,0.771102397,0.288025377,1,0.145391354,0.642627004,0.458442039,0.419338797
3,3,Mabatini,Tandika,Temeke,0.188893981,0.699338032,0.165455987,2,0.125252415,0.534407581,0.485177327,0.398214217
4,4,Mangaya,Mbagala,Temeke,0.434245293,0.446064475,0.437007666,3,0.733431289,0.656982027,0.209113212,0.437900545
5,5,Maguruwe,Tandika,Temeke,0.29102525,0.652270823,0.153084853,4,0.120314657,0.609927882,0.55645413,0.470926983
6,6,Tamla,Tandika,Temeke,0.143832186,0.636246059,0.191356067,5,0.121666074,0.565876567,0.555471976,0.374595035
7,7,Tandika,Tandika,Temeke,0.239275423,0.675335537,0.105524716,6,0.123486623,0.505812246,0.588096551,0.467147532
8,8,Mbagala,Mbagala,Temeke,0.277551926,0.396398593,0.358604282,7,0.733431289,0.63935678,0.260786361,0.436601738
9,10,Bughudadi,Mbagala,Temeke,0.347101063,0.314021967,0.54430106,9,0.382386671,0.347849047,0.550989283,0.500358319
10,11,Kizinga,Mbagala,Temeke,0.362123566,0.380293478,0.421393955,10,0.417271015,0.582792532,0.33679867,0.451502594
11,12,Serenge,Mbagala,Temeke,0.424546667,0.326902485,0.674702617,11,0.503086194,0.49784906,0.18627781,0.355724863
12,14,Mbonde,Makangarawe,Temeke,0.257211875,0.641929376,0.138540841,13,0.204553029,0.697029017,0.394815045,0.359325892
13,16,Makangarawe,Makangarawe,Temeke,0.17816983,0.450734186,0.357738059,15,0.224131963,0.599309828,0.331829434,0.390507928
14,17,Uwazi,Makangarawe,Temeke,0.195153562,0.371586843,0.427209446,16,0.371752114,0.683280323,0.361425697,0.400534979
15,18,Yombo Dovya,Makangarawe,Temeke,0.294336502,0.620551923,0.311816019,17,0.271645527,0.766353893,0.414134262,0.45376307
16,19,Makuka Kaskazini,Mbagala Kuu,Temeke,0.213462127,0.411327535,0.424425059,18,0.733431289,0.639408174,0.288309866,0.496901435
17,21,Msakala,Makangarawe,Temeke,0.187925443,0.542931579,0.463653185,20,0.398044657,0.601971533,0.264952743,0.352793445
18,27,Makuka Kusini,Mbagala Kuu,Temeke,0.294781024,0.356788007,0.520539255,26,0.733431289,0.710273854,0.324037892,0.411420288
19,28,Mbagala Kuu Magharibi,Mbagala Kuu,Temeke,0.413696451,0.225916258,0.749028549,27,0.733431289,0.497024376,0.285656115,0.275810124
20,29,Mbagala Kuu Mashariki,Mbagala Kuu,Temeke,0.233045124,0.322605035,0.538655388,28,0.733431289,0.531364147,0.295383615,0.345135488
21,31,Idrisa,Magomeni,Kinondoni,0.359338541,0.493846554,0.485011895,30,0.323554589,0.745077426,0.948952747,0.547577775
22,32,Dossi,Magomeni,Kinondoni,0.232620035,0.481909014,0.281998414,31,0.384947962,0.690356862,0.726701109,0.371796912
23,33,Makuti 'A',Magomeni,Kinondoni,0.382763049,0.502989261,0.283267248,32,0.287015803,0.653249949,0.759075522,0.450877105
24,34,Makuti 'B',Magomeni,Kinondoni,0.212826124,0.602969677,0.264948454,33,0.220428432,0.632682859,0.534035874,0.385880015
25,35,Kagera,Makurumla,Ubungo,0.203135369,0.884098287,0.205762622,34,0.010830515,0.716345076,0.779753464,0.360235497
26,36,Sunna,Magomeni,Kinondoni,0.195577793,0.388816494,1,35,0.46555879,0.350879024,0.151785533,0
27,37,Sisi Kwa Sisi,Makurumla,Ubungo,0.277712728,0.961860215,0.109912768,36,0.005523314,0.857737954,0.771152313,0.412170743
28,39,Kimamba,Makurumla,Ubungo,0.26764575,0.725225502,0.262450436,38,0.091214859,0.719459757,0.724298838,0.444813659
29,40,Mianzini,Makurumla,Ubungo,0.142367149,0.78313034,0.259397304,39,0.035414655,0.878833023,0.567702103,0.336238095
30,42,Kwajongo,Makurumla,Ubungo,0.219496785,0.927622536,0.239990937,41,0.002093551,0.873622217,0.648896477,0.372884617
31,43,Kilimahewa,Makurumla,Ubungo,0.179087013,0.954259086,0.225006609,42,0,0.831629262,0.597990586,0.404886726
32,45,Vigaeni,Ndugumbi,Kinondoni,0.240375302,0.580973283,0.172808177,44,0.180171543,0.671300949,0.713203246,0.438950316
33,46,Makanya,Ndugumbi,Kinondoni,0.232197166,0.763309066,0.199682791,45,0.086121088,0.735127401,0.750351118,0.420035477
